variance,ac1,cv,skewness,kurtosis,label
7.89511399400068e-12,0.6142661973540473,2.741468674513702,7.068657343634457,69.18284834489471,0
1.2866644952829916e-10,0.7880267309227854,4.71547304449318,7.438340581353273,63.28420356670024,0
4.24685384201282e-09,0.7343307038113006,7.363285835198423,9.817204241514078,106.9221567968597,1
7.282494574936931e-11,0.7739467440814847,4.358957789437754,9.498440191156108,104.80910373108888,0
9.426105282268523e-10,0.48104531841431203,7.837527052611494,15.768655162433053,282.1806312927035,0
2.7351424724457483e-09,0.45313406060047107,8.376118963229667,15.403046407238856,275.0571088723152,1
1.3778488796122882e-10,0.8439687830695356,4.780055419019617,9.621531026271592,110.13130977890106,0
2.5633112565118287e-10,0.7488399938071663,5.832836596057887,10.465878443217811,121.91430747238195,1
4.8948627286497674e-11,0.6523464466425462,3.4499230122540663,7.335971781141866,66.972934719075,0
7.408122529316278e-12,0.5575393038541164,3.139837465780369,8.209698783333996,81.47072835523238,0
2.935617473943584e-09,0.6242103735493323,6.115568797726561,10.135436113553533,121.82285317876024,1
3.3854739218477334e-12,0.695318913280273,2.3701762678482767,7.461737780641363,74.95864464161424,0
3.3151606593094987e-12,0.6284985794699556,2.1022843873626647,5.053834917651908,36.15783668500345,0
9.829206916263486e-09,0.6099855755804638,8.660905553638655,11.989414820211227,157.60088749654918,1
1.1034205776729006e-11,0.4455624558006089,3.567792267997785,11.479213609615787,173.96005705987588,1
1.7125842264075896e-11,0.7318588253212197,3.5490271770695125,8.317812048216053,87.24590051063413,0
2.718416084159525e-11,0.5483212460575684,4.672225238757426,12.047101117755437,169.185607966443,1
1.5411197122411752e-11,0.5240560054920237,3.5103775859897373,10.267335973520694,135.0431041386262,0
1.149035245787976e-08,0.44929243266878416,7.569846988385597,13.671831858580317,216.14564644442416,1
1.2854629522625286e-11,0.5334812930465006,2.8697696779788124,5.55728244928754,37.401591060996715,0
7.071807311971284e-12,0.3923404114246035,3.148587816603265,10.082974954056445,142.95373129625227,1
9.96679054433186e-13,0.6499645190844958,1.5988648303524402,4.854115687393522,38.57930128742109,0
4.512873615363423e-11,0.6978180628572342,3.4965991950539106,7.858982660584809,80.72418813632119,1
8.984590770634796e-12,0.45430074920067753,3.0112497490861903,11.098517972081092,168.60398217872947,0
2.613279836657934e-11,0.5898097261157474,3.159806339349718,7.390817039105634,71.55091329832793,0
1.6983060036312603e-12,0.49770427554509783,2.0182865674198114,5.007140808997494,33.65811858254406,0
6.799988937505326e-11,0.44415489360572286,5.034544225218331,13.587597638876208,225.02770778973218,1
1.747960585675272e-11,0.478521351145492,4.524681754519747,11.954241613104646,173.98967735119527,1
1.7562373012641425e-11,0.6312129320933506,3.4131009486442396,8.789710544321766,98.23987937152978,0
1.591653225673325e-12,0.6453361366367586,1.8962663875263266,4.396953951983019,27.308210320161834,0
1.1481724047009586e-10,0.789203912217779,4.59788518842501,7.023831782623846,57.779392247679944,0
2.7312215184090873e-12,0.6386427988112713,2.0692015868771128,6.043151714840512,58.12084713358737,0
1.4852294467660277e-11,0.7092089804393604,3.5809799716781727,9.445346270056376,109.86603614256454,0
8.374881486212236e-10,0.5492364285099381,8.715538710813048,15.506852357486572,264.0114723069133,0
1.4466609279132977e-08,0.7635971787433603,5.966419204954792,8.28706128230358,78.13858623795247,0
3.8539393512985875e-11,0.6575783769718856,3.6199294084063838,7.0609728578043685,59.92169996161933,1
7.232516444865253e-12,0.3744358411942129,3.0561549617642774,7.854551879396184,79.55779563720027,0
2.5676698230973438e-11,0.6232332668346177,5.0616372676665655,13.020316621840331,194.53902057346534,0
1.599332488521543e-12,0.6797737477687903,1.8711431540990193,5.591715994548638,48.08978149720378,0
6.39758928199124e-11,0.724617409761405,3.7287999280182884,7.641619740625403,73.26043688209039,0
3.7713248604728053e-10,0.14949647371453234,6.3518117253708395,18.416157022750184,379.8454820672151,1
